timestamp,temp,humi,mq135,mq7,pm2.5,uv_index,dewpoint
2023-07-18 02:40:29,29.2,77.0,0.3029,5.3257,0.0856,4.5898,9.4224
2023-07-18 02:37:55,29.8,77.0,0.2989,5.4274,0.0831,2.9785,10.2409
2023-07-18 02:35:24,29.8,77.0,0.2989,5.3257,0.0848,12.3047,10.2409
2023-07-18 02:32:54,29.8,77.0,0.2989,5.3257,0.0839,15.2344,10.2409
2023-07-18 02:30:23,29.8,77.0,0.3081,5.4274,0.0856,2.3438,10.2409
2023-07-18 02:27:52,29.8,77.0,0.3081,5.4274,0.0839,13.1348,10.2409
2023-07-18 02:25:21,29.8,77.0,0.3081,5.4274,0.0856,10.0098,10.2409
2023-07-18 02:22:50,30.3,76.0,0.2976,5.6333,0.0856,2.002,10.9207
2023-07-18 02:20:19,30.8,77.0,0.3204,5.8428,0.0831,11.6699,11.5985
2023-07-18 02:17:48,30.8,77.0,0.3908,8.7591,0.0789,12.793,11.5985
2023-07-17 21:06:19,27.5,88.0,0.1553,4.2189,0.0865,1.123,7.0857
2023-07-17 21:01:10,27.0,88.0,0.1574,4.3841,0.0865,1.8555,6.3931
2023-07-17 20:58:39,27.5,88.0,0.1553,4.3841,0.0856,2.5879,7.0857
2023-07-17 20:56:08,27.5,88.0,0.1495,4.3841,0.0848,1.0742,7.0857
2023-07-17 20:53:38,27.5,88.0,0.1495,4.4678,0.0865,0.0,7.0857
2023-07-17 20:51:07,27.0,89.0,0.1506,4.4678,0.0865,2.2949,6.3931
2023-07-17 20:48:36,27.0,89.0,0.1565,4.4678,0.0865,1.6602,6.3931
2023-07-17 20:46:05,27.0,88.0,0.1574,4.5522,0.0856,2.0508,6.3931
2023-07-17 20:43:30,27.0,88.0,0.1574,4.6373,0.0865,2.002,6.3931
2023-07-17 20:41:00,27.5,88.0,0.1495,4.5522,0.0856,1.1719,7.0857
2023-07-17 20:38:29,27.5,88.0,0.1495,4.5522,0.0865,1.1719,7.0857
2023-07-17 20:35:58,27.0,88.0,0.1515,4.6373,0.0814,0.9766,6.3931
2023-07-17 20:33:27,27.5,88.0,0.1495,4.6373,0.0865,1.1719,7.0857
2023-07-17 20:30:56,27.5,88.0,0.1553,4.3841,0.0865,3.7109,7.0857
2023-07-17 20:28:25,27.5,89.0,0.1486,4.4678,0.0823,2.002,7.0857
2023-07-17 20:25:54,27.0,89.0,0.1506,4.4678,0.0831,1.3672,6.3931
2023-07-17 20:23:23,27.0,89.0,0.1506,4.4678,0.0856,0.0,6.3931
2023-07-17 20:20:51,27.5,88.0,0.1495,4.4678,0.0865,1.416,7.0857
2023-07-17 20:18:20,27.5,88.0,0.1553,4.5522,0.0848,1.5625,7.0857
2023-07-17 20:15:48,27.5,88.0,0.1495,4.3841,0.0865,2.5391,7.0857
2023-07-17 20:13:15,27.5,89.0,0.1543,4.4678,0.0848,2.2949,7.0857
2023-07-17 20:05:29,27.5,89.0,0.1543,4.4678,0.0865,3.0273,7.0857
2023-07-17 20:02:58,27.5,89.0,0.1543,4.3841,0.0865,1.416,7.0857
2023-07-17 20:00:21,27.5,90.0,0.1534,4.4678,0.0865,2.002,7.0857
2023-07-17 19:55:07,27.0,89.0,0.1506,4.5522,0.0848,1.1719,6.3931
2023-07-17 19:52:37,27.5,89.0,0.1543,4.4678,0.0865,1.0742,7.0857
2023-07-17 19:50:06,27.5,89.0,0.1486,4.5522,0.0865,1.0254,7.0857
2023-07-17 19:47:35,27.5,89.0,0.1543,4.4678,0.0806,0.0,7.0857
2023-07-17 19:45:04,27.5,88.0,0.1495,4.4678,0.0865,0.9766,7.0857
2023-07-17 19:42:33,27.5,88.0,0.1553,4.3841,0.0856,2.3438,7.0857
2023-07-17 19:40:02,27.9,88.0,0.1479,4.4678,0.0865,2.002,7.638
2023-07-17 19:37:31,27.9,88.0,0.1537,4.3841,0.0865,1.709,7.638
2023-07-17 19:35:01,27.9,88.0,0.1479,4.3841,0.0865,1.0742,7.638
2023-07-17 19:32:30,27.9,88.0,0.1537,4.3841,0.0865,3.7598,7.638
2023-07-17 19:29:59,27.5,88.0,0.1495,4.3841,0.0856,1.6602,7.0857
2023-07-17 19:27:28,27.5,88.0,0.1495,4.5522,0.0865,1.123,7.0857
2023-07-17 19:24:57,27.5,88.0,0.1553,4.5522,0.0848,1.0742,7.0857
2023-07-17 19:22:26,27.9,88.0,0.1479,4.5522,0.0865,1.0742,7.638
2023-07-17 19:19:56,27.9,87.0,0.1546,4.5522,0.0865,1.4648,7.638
2023-07-17 19:17:25,27.9,88.0,0.1537,4.4678,0.0848,1.9531,7.638
2023-07-17 19:14:54,27.5,89.0,0.1486,4.3841,0.0865,2.4902,7.0857
2023-07-17 19:12:23,27.5,89.0,0.1486,4.5522,0.0781,0.1953,7.0857
2023-07-17 19:09:51,27.5,89.0,0.1486,4.5522,0.0839,1.8555,7.0857
2023-07-17 19:07:20,27.5,89.0,0.1543,4.5522,0.0865,1.123,7.0857
2023-07-17 19:04:46,27.9,88.0,0.1479,4.5522,0.0839,1.7578,7.638
2023-07-17 19:02:13,27.5,89.0,0.1543,4.3841,0.0705,1.9531,7.0857
2023-07-17 18:59:38,27.5,89.0,0.1543,4.4678,0.0865,3.7598,7.0857
2023-07-17 18:57:07,27.5,89.0,0.1486,4.5522,0.0839,1.8555,7.0857
2023-07-17 18:54:37,27.5,89.0,0.1543,4.5522,0.0848,0.9766,7.0857
2023-07-17 18:52:03,27.5,89.0,0.1486,4.5522,0.0856,0.0,7.0857
2023-07-17 18:49:25,27.5,89.0,0.1543,4.7232,0.0865,1.0254,7.0857
2023-07-17 18:46:55,27.5,89.0,0.1486,4.6373,0.0865,1.8066,7.0857
2023-07-17 18:44:24,27.5,89.0,0.1543,4.5522,0.0865,0.0,7.0857
2023-07-17 18:41:53,27.0,89.0,0.1565,4.6373,0.0865,1.6113,6.3931
2023-07-17 18:39:22,27.5,89.0,0.1486,4.5522,0.0865,2.6367,7.0857
2023-07-17 18:36:44,27.5,89.0,0.1543,4.6373,0.0865,0.8789,7.0857
2023-07-17 18:34:10,27.5,89.0,0.1543,4.6373,0.0865,0.8789,7.0857
2023-07-17 18:31:38,27.5,89.0,0.1486,4.5522,0.0865,0.0,7.0857
2023-07-17 18:26:32,27.5,89.0,0.1543,4.7232,0.0865,1.123,7.0857
2023-07-17 18:24:01,27.0,89.0,0.1565,4.6373,0.0797,1.2207,6.3931
2023-07-17 18:18:57,27.0,89.0,0.1565,4.7232,0.0865,1.709,6.3931
2023-07-17 18:16:26,27.5,89.0,0.1543,4.897,0.0839,0.8789,7.0857
2023-07-17 18:13:56,27.0,89.0,0.1506,4.985,0.0848,2.0996,6.3931
2023-07-17 18:11:24,27.0,89.0,0.1565,4.985,0.0865,1.6602,6.3931
2023-07-17 18:08:53,27.0,89.0,0.1506,4.985,0.0839,0.7813,6.3931
2023-07-17 18:06:22,27.5,88.0,0.1553,4.897,0.0865,0.0977,7.0857
2023-07-17 18:03:51,27.5,88.0,0.1553,4.8097,0.0865,0.0,7.0857
2023-07-17 18:01:20,27.5,89.0,0.1486,4.985,0.0814,0.8789,7.0857
2023-07-17 17:58:48,27.5,89.0,0.1543,4.897,0.0865,0.0,7.0857
2023-07-17 17:56:17,27.5,89.0,0.1543,4.897,0.0865,0.0,7.0857
2023-07-17 17:53:46,27.0,89.0,0.1565,4.897,0.0848,1.0742,6.3931
2023-07-17 17:51:15,27.5,89.0,0.1543,5.0737,0.0865,3.3691,7.0857
2023-07-17 17:48:44,27.0,89.0,0.1565,5.0737,0.0865,0.0,6.3931
2023-07-17 17:46:13,27.0,89.0,0.1565,5.0737,0.0865,1.1719,6.3931
2023-07-17 17:43:36,27.0,89.0,0.1506,5.1631,0.0865,0.0977,6.3931
2023-07-17 17:41:05,27.1,89.0,0.1502,4.985,0.0865,0.0,6.5318
2023-07-17 17:38:34,27.5,89.0,0.1543,5.0737,0.0865,1.123,7.0857
2023-07-17 17:36:03,27.0,89.0,0.1506,5.1631,0.0865,1.0254,6.3931
2023-07-17 17:33:32,27.5,89.0,0.1486,5.1631,0.0865,1.123,7.0857
2023-07-17 17:31:01,27.0,89.0,0.1565,5.2533,0.0865,3.7598,6.3931
2023-07-17 17:28:30,27.1,89.0,0.1502,5.2533,0.0865,1.3184,6.5318
2023-07-17 17:25:59,27.0,89.0,0.1565,5.2533,0.0865,0.0,6.3931
2023-07-17 17:23:28,27.5,89.0,0.1543,5.1631,0.0848,1.0254,7.0857
2023-07-17 17:20:58,27.1,89.0,0.1561,5.2533,0.0865,3.3691,6.5318
2023-07-17 17:18:24,27.0,89.0,0.1506,5.2533,0.0865,5.2246,6.3931
2023-07-17 17:15:53,27.0,88.0,0.1574,5.4358,0.0856,2.9785,6.3931
2023-07-17 17:13:22,27.5,88.0,0.1553,5.4358,0.0865,0.7324,7.0857
2023-07-17 17:10:51,27.5,88.0,0.1495,5.5281,0.0856,1.8555,7.0857
2023-07-17 17:08:20,27.5,88.0,0.1553,5.2533,0.0865,1.3184,7.0857
2023-07-17 17:05:49,27.5,89.0,0.1543,5.1631,0.0865,6.25,7.0857
